title,dozents,majors
"Complexity, Randomization, Approximation and PAC-Learning (V/Ü)",Asteroth,MCSP;MI;MVG
Computational Geometry (V/Ü),Priesnitz,MCSP;MI;MVG
Datenbanken (V),Knolle,BCSP;BWI
Datenbanken Gr. 1 (Ü),Schneider M.,BCSP;BWI
Datenbanken Gr. 2 (Ü),Balg,BCSP
Datenbanken Gr. 2 (Ü),Knolle,BWI
Datenbanken Gr. 3 (Ü),Knolle,BWI
Datenbanken Zus. Gr A. (Ü),Balg,BCSP;BWI
Datenbanken Zus. Gr. B (Ü),Balg,BCSP;BWI
"Datenschutz, IT-Recht und Privatheit (V)",Haferkorn,BCSP
"Datenschutz, IT-Recht und Privatheit Gr. 1 (Ü)",Haferkorn,BCSP
"Datenschutz, IT-Recht und Privatheit Gr. 2 (Ü)",Haferkorn,BCSP
Delegated Authorization (V/Ü),Tschofenig,MCSP;MI;MVG
Design Thinking (Bassen) (V/Ü),Bassen,BCSP;BI;BWI
Design Thinking (Ruppel) (V/Ü),Ruppel,BCSP;BI;BWI
Digital Storytelling (V/Ü),"Heiden, Tiefenbach",MCSP;MI;MVG
Digitale Forensik (V),Padilla,BCSP;BI;BWI
Digitale Forensik Gr. A (Ü),Padilla,BCSP;BI;BWI
Dokumentenmanagement (V/Ü),Hense,MCSP;MI;MVG
E-Business Ext. (Ü),Wamser,BWI
E-Business Gr. 1 (V/Ü),Wamser,BWI
E-Business Gr. 2 (V/Ü),Wamser,BWI
Einführung in Diskrete Mathematik und Lineare Algebra (V),Hülsmann,BCSP;BI;BWI
Einführung in Diskrete Mathematik und Lineare Algebra (V),Weil,BCSP;BI;BWI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 1 (Ü),Hülsmann,BCSP;BI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 1 (Ü),Weil,BWI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 2 (Ü),Hülsmann,BCSP
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 2 (Ü),Lanzerath,BI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 2 (Ü),Weil,BWI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 3 (Ü),Hülsmann,BI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 3 (Ü),Weil,BWI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 4 (Ü),Lanzerath,BI
Einführung in Diskrete Mathematik und Lineare Algebra Gr. 5 (Ü),Lanzerath,BI
Einführung in Diskrete Mathematik und Lineare Algebra Zus. Gr. A (Ü),Weil,BCSP;BI;BWI
Einführung in Diskrete Mathematik und Lineare Algebra Zus. Gr. B (Ü),Lanzerath,BCSP;BI;BWI
Einführung in Web Engineering (V/Ü),Kless,BI;BWI
Einführung in das IT-Recht (V/Ü),Brenner,BI
Einführung in die Analysis (Wiederholer) (Ü),Becker,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen (V),Asteroth,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen Gr. 1 (Ü),Weil,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen Gr. 2 (Ü),Weil,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen Gr. 3 (Ü),Lanzerath,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen Gr. 4 (Ü),Lanzerath,BI;BWI
Einführung in die Automatentheorie und Formale Sprachen Zus. Gr. A (Ü),Weil,BI;BWI
Einführung in die Betriebswirtschaftslehre (V),Bonne,BWI
Einführung in die Betriebswirtschaftslehre (Ü),Bonne,BWI
Einführung in die Programmierung (Berrendorf) (V),Berrendorf,BI;BWI
Einführung in die Programmierung (Berrendorf) (Wdh.) (Ü),Balg,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. A (Ü),Berrendorf,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. B (Ü),Berrendorf,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. C (Ü),Berrendorf,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. D (Ü),Razzaq,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. E (Ü),Balg,BI;BWI
Einführung in die Programmierung (Berrendorf) Gr. F (Ü),Balg,BI;BWI
Einführung in die Programmierung (Kless) (V),Kless,BCSP
Einführung in die Programmierung (Kless) Gr. 1 (Ü),Kless,BCSP
Einführung in die Programmierung (Kless) Gr. 2 (Ü),Kless,BCSP
Einführung in die Programmierung (Priesnitz) (V),Priesnitz,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. G (Ü),Priesnitz,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. H (Ü),Priesnitz,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. I (Ü),Priesnitz,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. J (Ü),Schneider M.,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. K (Ü),Kless,BI;BWI
Einführung in die Programmierung (Priesnitz) Gr. L (Ü),Kless,BI;BWI
Einführung in die Wirtschaftsinformatik (V),Bertram,BWI
Einführung in die Wirtschaftsinformatik (Ü),Schneider T.,BWI
Elementary German (A2.1) (SU),Rogozhnikova-SPZ,Sprachkurse
Elementary German (A2.2) (SU),Pick-SPZ,Sprachkurse
Entrepreneurship in Robotics and Computer Science (V),Prassler,MAS;MCSP;MI;MVG
Entrepreneurship in Robotics and Computer Science (Ü),Prassler,MAS;MCSP;MI;MVG
Ethical Hacking (V/Ü),Celik,BCSP;BI
Ethik (SU),"Krickhahn, Scobel",BCSP
Explainable Machine Learning (V),Yousef,MAS;MCSP;MI;MVG
Explainable Machine Learning (Ü),Yousef,MAS;MCSP;MI;MVG
Fortgeschrittene Konzepte für die Prüfung eines Informationssicherheitsmanagementsystems (V/Ü),Haferkorn,MCSP;MI;MVG
Game Development 2 (V/Ü),"Hinkenjann, Kruijff",BCSP;BI;BWI
Games: Advanced User Interfaces (V/Ü),Kruijff,MVG
General English A2 (Focus IT) (SU),Brenner-SPZ,BI;BWI;Sprachkurse
Grundlagen Netzwerk- und Betriebssystemsicherheit (V),"Rademacher, Tschofenig",BCSP
Grundlagen Netzwerk- und Betriebssystemsicherheit Gr. 1 (Ü),Rademacher,BCSP
Grundlagen Netzwerk- und Betriebssystemsicherheit Gr. 2 (Ü),Tschofenig,BCSP
Grundlagen von Wahrscheinlichkeitstheorie und Statistik (V),Hees,BCSP;BI;BWI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 1 (Ü),Becker,BWI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 1 (Ü),Hees,BI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 1 (Ü),Seithe,BCSP
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 2 (Ü),Becker,BI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 2 (Ü),Hees,BCSP;BWI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 3 (Ü),Hees,BI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 3 (Ü),Nies,BWI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Gr. 4 (Ü),Becker,BI
Grundlagen von Wahrscheinlichkeitstheorie und Statistik Zus. Gr. (Ü),Nies,BCSP;BI;BWI
Hacker School: Lernen durch Lehren - Programmierkurse an Schulen (V/Ü),Bonne,BCSP;BI;BWI
Hardware Security (V/Ü),"Lemke-Rust, Östreich",MCSP;MI;MVG
Human-centered interaction in robotics (V/Ü),Hassan,MAS;MCSP;MI;MVG
Hypermedia (V/Ü),Heiden,BI;BWI
IT-Controlling (V/Ü),Bonne,MCSP;MI;MVG
IT-Ethik (V/Ü),Kees,BI;BWI
IT-Management (V/Ü),Hense,MCSP;MI;MVG
IT-Servicemanagement (V),Hense,BWI
IT-Servicemanagement Gr. 1 (Ü),Hense,BWI
IT-Servicemanagement Gr. 2 (Ü),Hense,BWI
IT-Sicherheit (V),Lemke-Rust,BI
IT-Sicherheit (Ü),Lemke-Rust,BI
IT-Sicherheit Gr. A (P),Welle,BI
IT-Sicherheit Gr. B (P),Welle,BI
IT-Sicherheit Gr. C (P),Welle,BI
IT-Sicherheit Gr. D (P),Hofemann,BI
IT-Sicherheit Gr. E (P),Hofemann,BI
IT-Sicherheit Gr. F (P),Hofemann,BI
IT-Sicherheit Gr. G (P),Lemke-Rust,BI
IT-Sicherheit Gr. H (P),Lemke-Rust,BI
IT-Sicherheit für die Wirtschaftsinformatik (V/Ü),Lemke-Rust,BWI
Identitätsmanagement und PKI (V),"Tschofenig, Ullmann",BCSP;BI;BWI
Identitätsmanagement und PKI Gr. A (Ü),Tschofenig,BCSP;BI;BWI
Identitätsmanagement und PKI Gr. B (Ü),Ullmann,BCSP;BI;BWI
Informatik Grundlagen für Visual Computing (V/Ü),Seithe,MVG
Informationsmanagement (V),Siebdrat,BWI
Informationsmanagement Gr. 1 (Ü),Siebdrat,BWI
Informationsmanagement Gr. 2 (Ü),Siebdrat,BWI
Informationsmanagement Gr. 3 (Ü),Siebdrat,BWI
Informationssicherheit (V/Ü/P/S),Lo Iacono,BCSP
Innovationen (V/Ü),Kees,BI
Integration Architectures (V/Ü),Alda,BI;BWI
Integration betrieblicher Anwendungssysteme (V/Ü),Bertram,BI
Interaktive Umgebungen (V/Ü),"Kruijff, Seithe",BI;BWI
Interdisziplinäre Anwendungen von Visual Computing (V/Ü),"Hinkenjann, Wolpers",MCSP;MI;MVG
Intermediate German (B1.1) (SU),Rogozhnikova-SPZ,Sprachkurse
Interpreter- und Compilerbau 2 (V/Ü),Asteroth,BCSP;BI;BWI
Introduction to Business English for BIS (SU),Werthwein-SPZ,BWI;Sprachkurse
Introduction to English for IT Gr. W (SU),Seibert-SPZ,BI;Sprachkurse
Introduction to English for IT Gr. Y (SU),Lülsdorf-SPZ,BI;Sprachkurse
Introduction to English for IT Gr. Z (SU),Werthwein-SPZ,BI;Sprachkurse
Introduction to Model-based Fault Diagnosis and Prognosis (V/Ü),Borutzky,MAS;MCSP;MI;MVG
Introduction to Scientific Working (S),Hassan,MAS;MCSP;MI;MVG
IoT Security (V/Ü),"Nimbach, Tschofenig",BCSP;BI;BWI
Kommunikation in verteilten Systemen (V/Ü),Rademacher,MCSP;MI;MVG
Kryptowährungen und Blockchaintechnologie (V/Ü),Hünseler,BCSP;BI;BWI
Linux Kernel and Embedded Systems Programming 2 (V/Ü),"Böhmer, St.",BCSP;BI;BWI
Literatur-Seminar (S),Bürsner,BCSP;BI
Literatur-Seminar (S),"Cornely, Dum, Hülsmann, Kraatz, Tschofenig, Ullmann, Vieten, Weil",BCSP;BI
Literatur-Seminar (S),"Dum, Hülsmann, Kraatz, Vieten, Weil",BCSP;BI
Literatur-Seminar (S),Hackelöer,BCSP;BI
Literatur-Seminar (S),Rademacher,BCSP;BI
Literatur-Seminar (S),"Tschofenig, Ullmann",BCSP;BI
Literatur-Seminar (S),Witt,BCSP;BI
Logische Grundlagen für die Informatik (V),Müller,BCSP;BI
Logische Grundlagen für die Informatik Gr. 1 (Ü),Marcov,BI
Logische Grundlagen für die Informatik Gr. 1 (Ü),Müller,BCSP
Logische Grundlagen für die Informatik Gr. 2 (Ü),Marcov,BCSP
Logische Grundlagen für die Informatik Gr. 2 (Ü),Müller,BI
Logische Grundlagen für die Informatik Gr. 3 (Ü),Marcov,BI
Logische Grundlagen für die Informatik Gr. 4 (Ü),Müller,BI
Logische Grundlagen für die Informatik Gr. 5 (Ü),Müller,BI
Machine Learning (V/Ü),Houben,MAS;MCSP;MI;MVG
Management der Informationssicherheit (V),Haferkorn,BCSP;BI;BWI
Management der Informationssicherheit (Ü),Haferkorn,BCSP;BI;BWI
Mathematics for Robotics and Control (V/Ü),Plöger,MAS
Moderne Datawarehouse Architekturen als Basis für Big Data (V/Ü),Wirtgen,BI;BWI
Nichtlineare Optimierung (V/Ü),Hülsmann,BCSP;BI;BWI
Numerische Mathematik 1 (V/Ü),Hülsmann,MCSP;MI;MVG
Numerische Verfahren zur Simulation (V/Ü),Hülsmann,BCSP;BI;BWI
Objektrelationale Datenbanken (V/Ü),Knolle,BCSP;BI;BWI
Operatives IT-Controlling (V/Ü),Dum,BWI
Parallele Systeme (V/Ü),Berrendorf,MCSP;MI;MVG
Probabilistic Reasoning (V),Prassler,MAS;MCSP;MI;MVG
Probabilistic Reasoning (Ü),Prassler,MAS;MCSP;MI;MVG
Programmierung und Anwendungen regelbasierter Systeme (V/Ü),Müller,BCSP;BI;BWI
Projekt zur Datenanalyse (V/Ü/P/S),"Becker, Hees",BI;BWI
Projekt-Seminar (Angriffe auf Smart-Home Technologien) (V/Ü),Rademacher,BCSP;BI
Projekt-Seminar (Competitive Bots) (V/Ü),Zarychta,BCSP;BI
Projekt-Seminar (Cybersecurity Operations) (V/Ü),Ewert,BCSP;BI
Projekt-Seminar (Deep Learning) (V/Ü),Hees,BCSP;BI
Projekt-Seminar (Drahtlose Netztechnologien) (V/Ü),Uhde,BCSP;BI
Projekt-Seminar (Geoinformatik) (V/Ü),Hackelöer,BCSP;BI
Projekt-Seminar (Integration von Datenbanksystemen) (S),Balg,BCSP;BI
Projekt-Seminar (Internet of Things) (S),"Böhmer, J.",BCSP;BI
Projekt-Seminar (Internetkommunikation) (V/Ü),Uhde,BCSP;BI
Projekt-Seminar (Konflikte besser verstehen und handhaben) (V/Ü),Schliefer,BCSP;BI
Projekt-Seminar (Lernen in natürlichen und künstlichen neuronalen Netzen) (V/Ü),Vieten,BCSP;BI
Projekt-Seminar (Medizintechnik und IoT) (V/Ü),Nimbach,BCSP;BI
Projekt-Seminar (Mikrocontroller-Projekt) (V/Ü),Breuer,BCSP;BI
Projekt-Seminar (Netzwerk- und Internetsicherheit) (V/Ü),Tschofenig,BCSP;BI
Projekt-Seminar (Simulation biologischer Systeme) (V/Ü),Heiden,BCSP;BI
Projekt-Seminar (Wissenschaftliches Arbeiten für Wirtschaftsinformatiker*Innen) (V/Ü),Dum,BCSP;BI
Projektphase 1 (V/Ü),"Heiden, Seithe",MVG
Projektphase 2 (V/Ü),"Hinkenjann, Kruijff",MVG
Projektphase 3 Evaluation (V/Ü),"Heiden, Seithe",MVG
Requirements Engineering (V/Ü),Bürsner,MCSP;MI;MVG
Research and Development Colloquium (V),Awaad,MAS
Robot Learning (V),Mitrevski,MAS;MCSP;MI;MVG
Robot Learning (Ü),Mitrevski,MAS;MCSP;MI;MVG
Robot Manipulation (V),Prassler,MAS;MCSP;MI;MVG
Robot Manipulation (Ü),Prassler,MAS;MCSP;MI;MVG
Scientific Experimentation and Evaluation (P),Plöger,MAS
Scientific Experimentation and Evaluation (V/Ü),Plöger,MAS
Scientific Programming with Python (V/Ü),Kirschner,BCSP;BI;BWI
Scientific Writing (V/Ü),Tran,MVG
Seminar (S),Bürsner,MCSP;MI;MVG
Seminar (S),Hees,MCSP;MI;MVG
Seminar Auftakt (V),"Bury, Bürsner, Haferkorn, Hees",MCSP;MI;MVG
Seminar Betriebliche Informations- und Kommunikationssysteme (S),Bertram,BWI
Seminar IT-Controlling (S),Bonne,BWI
Seminar IT-Controlling (S),Dum,BWI
Seminar IT-Controlling (S),Teichmann,BWI
Signalverarbeitung und Programmierung eingebetteter Systeme (V/Ü/P),Breuer,BI
Software Development Project (P),Yousef,MAS
Software Engineering 1 (V),Alda,BCSP;BWI
Software Engineering 1 Gr. 1 (P),Balg,BCSP;BWI
Software Engineering 1 Gr. 2 (P),Alda,BWI
Software Engineering 1 Gr. 2 (P),Cornely,BCSP
Software Engineering 1 Gr. 3 (P),Alda,BWI
Software Engineering 2 (V),Hackelöer,BI
Software Engineering 2 Gr. 1 (P),Hackelöer,BI
Software Engineering 2 Gr. 2 (P),Hackelöer,BI
Software Engineering 2 Gr. 3 (P),Hackelöer,BI
Software Integrationsprojekt (V/Ü),"Kremer, Rickert",MCSP;MI;MVG
Sport- und Gesundheitsinformatik (V/Ü),Dum,BCSP;BI;BWI
Technische Informatik & Physikalische Grundlagen (P),"Mayer, Schliefer",BI
Technische Informatik & Physikalische Grundlagen (V),Breuer,BI
Technische Informatik & Physikalische Grundlagen Gr. 1 (Ü),Uhde,BI
Technische Informatik & Physikalische Grundlagen Gr. 2 (Ü),Breuer,BI
Technische Informatik & Physikalische Grundlagen Gr. 3 (Ü),Uhde,BI
Technische Informatik & Physikalische Grundlagen Gr. 4 (Ü),Mayer,BI
Technische Informatik & Physikalische Grundlagen Gr. 5 (Ü),Schliefer,BI
Transportnetze und Hochgeschwindigkeitsnetze (V/Ü),Uhde,BI
Unternehmensweite und unternehmensübergreifende betriebliche Informations- und Kommunikationssysteme (V/Ü),Bertram,BWI
Verteilte Datenbanksysteme (V/Ü),Knolle,MCSP;MI;MVG
Vertiefung System Architektur (V/Ü),Breuer,MCSP;MI;MVG
Virtualisierung und Containerisierung (V/Ü),"Böhmer, J.",BI
Virtuelle Private Netze (V/Ü),Östreich,MCSP;MI;MVG
WLAN (V/Ü),Uhde,BCSP;BI;BWI
Web Engineering (V/Ü),"Buchholz, Oppermann, Riedlinger",MCSP;MI;MVG
Wirtschaftsinformatik-Projekt (P),"Bonne, Mahbobi",BWI
Wirtschaftsinformatik-Projekt (P),"Hense, Kees",BWI
Wissenschaftliche Visualisierung (V/Ü),,MCSP;MI;MVG
